ubicacion,date,rango_hora,cantidad_total,fin_de_semana
9Julio,2020-06-20,16 a 24,15798,True
9Julio,2020-06-20,8 a 16,19676,True
9Julio,2020-06-21,0 a 8,3359,True
9Julio,2020-06-21,16 a 24,13011,True
9Julio,2020-06-21,8 a 16,10927,True
9Julio,2020-06-22,0 a 8,11842,False
9Julio,2020-06-22,16 a 24,27718,False
9Julio,2020-06-22,8 a 16,51464,False
9Julio,2020-06-23,0 a 8,11418,False
9Julio,2020-06-23,16 a 24,28296,False
9Julio,2020-06-23,8 a 16,55026,False
9Julio,2020-06-24,0 a 8,11769,False
9Julio,2020-06-24,16 a 24,29343,False
9Julio,2020-06-24,8 a 16,58382,False
9Julio,2020-06-25,0 a 8,12132,False
9Julio,2020-06-25,16 a 24,33907,False
9Julio,2020-06-25,8 a 16,56716,False
9Julio,2020-06-26,0 a 8,12625,False
9Julio,2020-06-26,16 a 24,34749,False
9Julio,2020-06-26,8 a 16,61274,False
9Julio,2020-06-27,0 a 8,7060,True
9Julio,2020-06-27,16 a 24,15591,True
9Julio,2020-06-27,8 a 16,25152,True
9Julio,2020-06-28,0 a 8,3665,True
9Julio,2020-06-28,16 a 24,14369,True
9Julio,2020-06-28,8 a 16,11976,True
9Julio,2020-06-29,0 a 8,11929,False
9Julio,2020-06-29,16 a 24,33662,False
9Julio,2020-06-29,8 a 16,57886,False
9Julio,2020-06-30,0 a 8,12611,False
9Julio,2020-06-30,16 a 24,31983,False
9Julio,2020-06-30,8 a 16,54566,False
9Julio,2020-07-01,0 a 8,10414,False
9Julio,2020-07-01,16 a 24,24138,False
9Julio,2020-07-01,8 a 16,42254,False
9Julio,2020-07-02,0 a 8,10623,False
9Julio,2020-07-02,16 a 24,25103,False
9Julio,2020-07-02,8 a 16,47367,False
9Julio,2020-07-03,0 a 8,11915,False
9Julio,2020-07-03,16 a 24,28990,False
9Julio,2020-07-03,8 a 16,50489,False
9Julio,2020-07-04,0 a 8,6428,True
9Julio,2020-07-04,16 a 24,12844,True
9Julio,2020-07-04,8 a 16,20231,True
9Julio,2020-07-05,0 a 8,3315,True
9Julio,2020-07-05,16 a 24,12658,True
9Julio,2020-07-05,8 a 16,9379,True
9Julio,2020-07-06,0 a 8,12551,False
9Julio,2020-07-06,16 a 24,28115,False
9Julio,2020-07-06,8 a 16,51949,False
9Julio,2020-07-07,0 a 8,12449,False
9Julio,2020-07-07,16 a 24,28846,False
9Julio,2020-07-07,8 a 16,55775,False
9Julio,2020-07-08,0 a 8,12328,False
9Julio,2020-07-08,16 a 24,32074,False
9Julio,2020-07-08,8 a 16,57055,False
9Julio,2020-07-09,0 a 8,5130,False
9Julio,2020-07-09,16 a 24,13516,False
9Julio,2020-07-09,8 a 16,16097,False
9Julio,2020-07-10,0 a 8,4761,False
9Julio,2020-07-10,16 a 24,14199,False
9Julio,2020-07-10,8 a 16,19714,False
9Julio,2020-07-11,0 a 8,5377,True
9Julio,2020-07-11,16 a 24,13231,True
9Julio,2020-07-11,8 a 16,19303,True
9Julio,2020-07-12,0 a 8,3323,True
9Julio,2020-07-12,16 a 24,13541,True
9Julio,2020-07-12,8 a 16,10280,True
9Julio,2020-07-13,0 a 8,11830,False
9Julio,2020-07-13,16 a 24,28774,False
9Julio,2020-07-13,8 a 16,50617,False
9Julio,2020-07-14,0 a 8,11664,False
9Julio,2020-07-14,16 a 24,29452,False
9Julio,2020-07-14,8 a 16,49043,False
9Julio,2020-07-15,0 a 8,12081,False
9Julio,2020-07-15,16 a 24,29738,False
9Julio,2020-07-15,8 a 16,51883,False
9Julio,2020-07-16,0 a 8,12062,False
9Julio,2020-07-16,16 a 24,29962,False
9Julio,2020-07-16,8 a 16,52081,False
9Julio,2020-07-17,0 a 8,12114,False
9Julio,2020-07-17,16 a 24,32655,False
9Julio,2020-07-17,8 a 16,54809,False
9Julio,2020-07-18,0 a 8,6825,True
9Julio,2020-07-18,16 a 24,15228,True
9Julio,2020-07-18,8 a 16,24958,True
9Julio,2020-07-19,0 a 8,3403,True
9Julio,2020-07-19,16 a 24,15634,True
9Julio,2020-07-19,8 a 16,11424,True
9Julio,2020-07-20,0 a 8,12304,False
9Julio,2020-07-20,16 a 24,30282,False
9Julio,2020-07-20,8 a 16,54789,False
9Julio,2020-07-21,0 a 8,11953,False
9Julio,2020-07-21,16 a 24,30483,False
9Julio,2020-07-21,8 a 16,57882,False
9Julio,2020-07-22,0 a 8,12594,False
9Julio,2020-07-22,16 a 24,30989,False
9Julio,2020-07-22,8 a 16,59519,False
9Julio,2020-07-23,0 a 8,11823,False
9Julio,2020-07-23,16 a 24,31320,False
9Julio,2020-07-23,8 a 16,57662,False
9Julio,2020-07-24,0 a 8,12614,False
9Julio,2020-07-24,16 a 24,33519,False
9Julio,2020-07-24,8 a 16,61138,False
9Julio,2020-07-25,0 a 8,7094,True
9Julio,2020-07-25,16 a 24,16691,True
9Julio,2020-07-25,8 a 16,24715,True
9Julio,2020-07-26,0 a 8,3830,True
9Julio,2020-07-26,16 a 24,15588,True
9Julio,2020-07-26,8 a 16,12054,True
9Julio,2020-07-27,0 a 8,14239,False
9Julio,2020-07-27,16 a 24,32022,False
9Julio,2020-07-27,8 a 16,61568,False
9Julio,2020-07-28,0 a 8,12761,False
9Julio,2020-07-28,16 a 24,33319,False
9Julio,2020-07-28,8 a 16,58365,False
9Julio,2020-07-29,0 a 8,12838,False
9Julio,2020-07-29,16 a 24,33519,False
9Julio,2020-07-29,8 a 16,59262,False
9Julio,2020-07-30,0 a 8,13221,False
9Julio,2020-07-30,16 a 24,34779,False
9Julio,2020-07-30,8 a 16,59822,False
9Julio,2020-07-31,0 a 8,13274,False
9Julio,2020-07-31,16 a 24,35507,False
9Julio,2020-07-31,8 a 16,63058,False
9Julio,2020-08-01,0 a 8,7262,True
9Julio,2020-08-01,16 a 24,19026,True
9Julio,2020-08-01,8 a 16,27114,True
9Julio,2020-08-02,0 a 8,4040,True
9Julio,2020-08-02,16 a 24,16295,True
9Julio,2020-08-02,8 a 16,11690,True
9Julio,2020-08-03,0 a 8,12655,False
9Julio,2020-08-03,16 a 24,31122,False
9Julio,2020-08-03,8 a 16,57659,False
9Julio,2020-08-04,0 a 8,12459,False
9Julio,2020-08-04,16 a 24,33212,False
9Julio,2020-08-04,8 a 16,58178,False
9Julio,2020-08-05,0 a 8,13056,False
9Julio,2020-08-05,16 a 24,36544,False
9Julio,2020-08-05,8 a 16,66423,False
9Julio,2020-08-06,0 a 8,13618,False
9Julio,2020-08-06,16 a 24,36916,False
9Julio,2020-08-06,8 a 16,68310,False
9Julio,2020-08-07,0 a 8,13388,False
9Julio,2020-08-07,16 a 24,36704,False
9Julio,2020-08-07,8 a 16,68918,False
9Julio,2020-08-08,0 a 8,7178,True
9Julio,2020-08-08,16 a 24,19257,True
9Julio,2020-08-08,8 a 16,29868,True
9Julio,2020-08-09,0 a 8,4295,True
9Julio,2020-08-09,16 a 24,16742,True
9Julio,2020-08-09,8 a 16,15118,True
9Julio,2020-08-10,0 a 8,13454,False
9Julio,2020-08-10,16 a 24,35960,False
9Julio,2020-08-10,8 a 16,61180,False
9Julio,2020-08-11,0 a 8,13635,False
9Julio,2020-08-11,16 a 24,38289,False
9Julio,2020-08-11,8 a 16,62889,False
9Julio,2020-08-12,0 a 8,14183,False
9Julio,2020-08-12,16 a 24,38546,False
9Julio,2020-08-12,8 a 16,65082,False
9Julio,2020-08-13,0 a 8,14321,False
9Julio,2020-08-13,16 a 24,39781,False
9Julio,2020-08-13,8 a 16,66522,False
9Julio,2020-08-14,0 a 8,14555,False
9Julio,2020-08-14,16 a 24,40481,False
9Julio,2020-08-14,8 a 16,69785,False
9Julio,2020-08-15,0 a 8,8284,True
9Julio,2020-08-15,16 a 24,21916,True
9Julio,2020-08-15,8 a 16,32673,True
9Julio,2020-08-16,0 a 8,4390,True
9Julio,2020-08-16,16 a 24,20900,True
9Julio,2020-08-16,8 a 16,17620,True
9Julio,2020-08-17,0 a 8,5088,False
9Julio,2020-08-17,16 a 24,22854,False
9Julio,2020-08-17,8 a 16,19150,False
9Julio,2020-08-18,0 a 8,14690,False
9Julio,2020-08-18,16 a 24,39320,False
9Julio,2020-08-18,8 a 16,67949,False
9Julio,2020-08-19,0 a 8,14315,False
9Julio,2020-08-19,16 a 24,34985,False
9Julio,2020-08-19,8 a 16,69242,False
9Julio,2020-08-20,0 a 8,13721,False
9Julio,2020-08-20,16 a 24,42584,False
9Julio,2020-08-20,8 a 16,67009,False
9Julio,2020-08-21,0 a 8,14607,False
9Julio,2020-08-21,16 a 24,42614,False
9Julio,2020-08-21,8 a 16,68986,False
9Julio,2020-08-22,0 a 8,8250,True
9Julio,2020-08-22,16 a 24,21391,True
9Julio,2020-08-22,8 a 16,30777,True
9Julio,2020-08-23,0 a 8,4319,True
9Julio,2020-08-23,16 a 24,19566,True
9Julio,2020-08-23,8 a 16,15300,True
9Julio,2020-08-24,0 a 8,14159,False
9Julio,2020-08-24,16 a 24,37702,False
9Julio,2020-08-24,8 a 16,63023,False
9Julio,2020-08-25,0 a 8,13665,False
9Julio,2020-08-25,16 a 24,38828,False
9Julio,2020-08-25,8 a 16,72665,False
9Julio,2020-08-26,0 a 8,15494,False
9Julio,2020-08-26,16 a 24,35981,False
9Julio,2020-08-26,8 a 16,73522,False
9Julio,2020-08-27,0 a 8,14426,False
9Julio,2020-08-27,16 a 24,39831,False
9Julio,2020-08-27,8 a 16,68974,False
9Julio,2020-08-28,0 a 8,13642,False
9Julio,2020-08-28,16 a 24,41889,False
9Julio,2020-08-28,8 a 16,77580,False
9Julio,2020-08-29,0 a 8,8114,True
9Julio,2020-08-29,16 a 24,20803,True
9Julio,2020-08-29,8 a 16,33314,True
9Julio,2020-08-30,0 a 8,4796,True
9Julio,2020-08-30,16 a 24,23107,True
9Julio,2020-08-30,8 a 16,17730,True
9Julio,2020-08-31,0 a 8,14359,False
9Julio,2020-08-31,16 a 24,38610,False
9Julio,2020-08-31,8 a 16,72777,False
9Julio,2020-09-01,0 a 8,13633,False
9Julio,2020-09-01,16 a 24,38211,False
9Julio,2020-09-01,8 a 16,74982,False
9Julio,2020-09-02,0 a 8,14624,False
9Julio,2020-09-02,16 a 24,34807,False
9Julio,2020-09-02,8 a 16,70510,False
9Julio,2020-09-03,0 a 8,11541,False
9Julio,2020-09-03,16 a 24,41208,False
9Julio,2020-09-03,8 a 16,74574,False
9Julio,2020-09-04,0 a 8,14535,False
9Julio,2020-09-04,16 a 24,42700,False
9Julio,2020-09-04,8 a 16,74123,False
9Julio,2020-09-05,0 a 8,8557,True
9Julio,2020-09-05,16 a 24,24150,True
9Julio,2020-09-05,8 a 16,33242,True
9Julio,2020-09-06,0 a 8,5350,True
9Julio,2020-09-06,16 a 24,23819,True
9Julio,2020-09-06,8 a 16,18205,True
9Julio,2020-09-07,0 a 8,14316,False
9Julio,2020-09-07,16 a 24,38620,False
9Julio,2020-09-07,8 a 16,64967,False
9Julio,2020-09-08,0 a 8,14544,False
9Julio,2020-09-08,16 a 24,38484,False
9Julio,2020-09-08,8 a 16,66439,False
9Julio,2020-09-09,0 a 8,15237,False
9Julio,2020-09-09,16 a 24,40953,False
9Julio,2020-09-09,8 a 16,75038,False
9Julio,2020-09-10,0 a 8,15570,False
9Julio,2020-09-10,16 a 24,41539,False
9Julio,2020-09-10,8 a 16,70124,False
9Julio,2020-09-11,0 a 8,15813,False
9Julio,2020-09-11,16 a 24,45226,False
9Julio,2020-09-11,8 a 16,74267,False
9Julio,2020-09-12,0 a 8,9331,True
9Julio,2020-09-12,16 a 24,26090,True
9Julio,2020-09-12,8 a 16,34910,True
9Julio,2020-09-13,0 a 8,6304,True
9Julio,2020-09-13,16 a 24,28224,True
9Julio,2020-09-13,8 a 16,20328,True
9Julio,2020-09-14,0 a 8,15328,False
9Julio,2020-09-14,16 a 24,39195,False
9Julio,2020-09-14,8 a 16,64803,False
9Julio,2020-09-15,0 a 8,14782,False
9Julio,2020-09-15,16 a 24,42268,False
9Julio,2020-09-15,8 a 16,74012,False
9Julio,2020-09-16,0 a 8,15575,False
9Julio,2020-09-16,16 a 24,43022,False
9Julio,2020-09-16,8 a 16,69867,False
